ID,pchembl,MolLogP,HeavyAtomCount,HeavyAtomMolWt,HAccept,Heteroatoms,HDonor,MolWt,MolMR,RotableBonds,RingCount,Ipc,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,BalabanJ,BertzCT,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,NHOHCount,NOCount,FractionCSP3,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10
CHEMBL1672434,0.3047473200612558,0.4275827240190589,0.17105263157894735,0.3250068644156767,0.13333333333333333,0.2608695652173913,0.125,0.30324896690382747,0.20036541131162958,0.09090909090909091,0.2857142857142857,-0.02515776513349292,0.9429012345679013,0.16279069767441862,0.25,0.2,0.2,0.7590011615353538,0.736065573865681,0.70153061230581,0.0964225675904743,0.16001813594779438,0.21919366630289483,0.8455624001045466,0.4531800010672409,0.251101149327335,0.16656775992076428,0.12946605907194705,0.11477704995580457,0.16836799688105014,0.16761936200423533,0.13682320175642312,0.1305670878366228,0.13416099809714177,0.15253118544246763,0.1566770838690424,0.22138852503132186,0.24876569266341397,0.2919257965699968,0.37754255584106455,0.39888349127886535,0.1111111111111111,0.13043478260869565,0.4629629633333335,0.2054848235768047,0.07363737110282553,0.0,0.47092359115938504,0.1438132647439575,0.0,0.15185763596013838,0.4272846827588488,0.23299576225513446,0.08704894436138345,0.0,0.2099398530802886,0.21122020763635496,0.0,0.0,0.10909032427406375,0.5,0.2330704629679066,0.0,0.15102870928846907,0.07744920168872246,0.19038737534288566,0.21249219880700662,0.6146198089002841,0.09589721003649175,0.13995972473749024,0.13661047963889889,0.30947544328867366,0.10493213919184984,0.27036342486263726,0.0,0.0,0.0,0.0,0.8141682345431648,0.06164635880684192,0.2561334834872099,0.23443198490242328,0.0,0.0,0.22058513799899584,0.07009490368702799,0.48056669805078156,0.11787823371645877,0.133715658080944,0.0,0.2260803507487381,0.011555534125202804,0.21241463646522246,0.23271461636761429,0.5504342804750517,0.30072106582494185,0.4817607808572206,0.24741521077474038,0.3026653299496289,0.39227716115930983
CHEMBL178194,0.6110260336906586,0.46222031925872253,0.43421052631578944,0.5402658547812675,0.4,0.43478260869565216,0.25,0.5178278642915966,0.47261224307017147,0.21212121212121213,0.7142857142857142,-0.02515704387512217,0.44753086419753096,0.3953488372093023,0.25,0.4,0.6000000000000001,0.34930313614545516,0.43442622971217404,0.485969387860006,0.27464480747567543,0.34035677492361727,0.4662224622518805,0.5884441633390268,0.2756874027554796,0.5896837570954203,0.34269491288839055,0.3188666750877067,0.24314250772543433,0.39703716061346983,0.45139594078803646,0.37693419497213576,0.40648787206585596,0.37261281284665676,0.4804364709657415,0.5181544858473905,0.4226782123601339,0.44803235073594,0.4295343981097126,0.5238907927308597,0.48143715585377156,0.4444444444444444,0.391304347826087,0.3968253966666667,0.4551241463910503,0.3907964804176534,0.19940820454790045,0.34366503079498106,0.28316582809561025,0.0,0.23131887155911132,0.4217290082220982,0.558370768594863,0.534053941146266,0.28783062374996415,0.0,0.0,0.0,0.41019850630717736,0.1856567877247717,0.5,0.4742868829691253,0.32464034100609174,0.12757320958580495,0.5226796596218823,0.48340730805968235,0.5944896987533059,0.5928930414451318,0.3323891507816994,0.37423336995918405,0.33047241826822094,0.4025810332641313,0.1322670761562082,0.40951874243944936,0.0,0.4991802193544237,0.4458253950536521,0.0,0.5773017586590536,0.11210984477517653,0.0,0.40831960696042424,0.5393458435479437,0.0,0.04679192832120706,0.5387179988248992,0.4320863278205673,0.47723253286769224,0.23590574646846005,0.0,0.06772824704814724,0.19446829063998375,0.3427491277372049,1.0,0.5504342804750517,0.6175289970458384,0.36576271531276583,0.3484870367952825,0.5643019871781535,0.18558642804619607
CHEMBL178262,0.44104134762633995,0.6112355356476298,0.47368421052631576,0.48181434582118604,0.4666666666666667,0.47826086956521735,0.25,0.46599963646885134,0.44722260534682734,0.21212121212121213,0.8571428571428571,-0.02515469557776572,0.40586419753086433,0.441860465116279,0.25,0.4,0.8,0.3924587422375889,0.46511627894700724,0.5280018985146935,0.44336390049591945,0.5266546365037632,0.5812327354801596,0.5186545062615424,0.23541688608495823,0.669932418677519,0.3613516506757004,0.3001313296224254,0.24441721798018667,0.43272337183556875,0.48651187617310265,0.41223095513147834,0.45216935687861676,0.42866875313854036,0.5481846989988417,0.6076103700920561,0.41223095513147834,0.45216935687861676,0.42866875313854036,0.535406290471761,0.5239916893806481,0.2222222222222222,0.34782608695652173,0.4814814811111111,0.45403436799958347,0.37194676712100017,0.2922626891275097,0.0,0.27557016031313625,0.5282628010384717,0.11565943582721988,0.4431816860365287,0.5824583093443548,0.5223497020860692,0.13594512940519185,0.0,0.12448164083357462,0.34155017353296674,0.21525517777722705,0.4265705624843711,0.0,0.7056393196277633,0.0,0.28779529092730016,0.3097968067075547,0.4193454913761574,0.7897441216315175,0.24859662079730827,0.09619712324648773,0.40963475063567106,0.33125847786732815,0.0,0.2914497135873588,0.40951874243944936,0.0,0.988428694183339,0.3843871762097503,1.0,0.0,0.07667177854693898,0.4563828226563138,0.3992163602959048,0.4487954097493207,0.3915820322871869,0.09150103509567568,0.2918967044852731,0.1642600429991374,0.11422196742883664,0.44761732275302074,0.0,0.3595888455078313,0.13217996572246068,0.6264610511159273,0.4467526843613438,0.5304517614332863,0.5131929290173778,0.27837523537113784,0.34140065446186724,0.5643019871781535,0.07587559161682457
CHEMBL178914,0.451761102603369,0.5803087192323737,0.47368421052631576,0.4777885679213742,0.4,0.43478260869565216,0.125,0.4641708522208786,0.4619114235815682,0.18181818181818182,0.8571428571428571,-0.025154705031796166,0.43672839506172845,0.441860465116279,0.25,0.4,0.8,0.34762174894519016,0.3949675948739463,0.4354532509825606,0.23930127223524,0.35312636725190405,0.4441902915969406,0.6883852543194736,0.23858416797364765,0.7086555039386351,0.3641625594207687,0.29324678506747315,0.21828422884503634,0.435525851116609,0.48521591245818363,0.4239513216368205,0.4625475957014841,0.44844259337133785,0.5904179936933219,0.6391694919478907,0.4239513216368205,0.4625475957014841,0.44844259337133785,0.5766551098716257,0.5512076790848777,0.1111111111111111,0.3043478260869565,0.5017921144444445,0.4558959677358912,0.22401722802620708,0.38731011654989267,0.17183251539749053,0.49933713263558765,0.0,0.23131887155911132,0.33398139305579405,0.6420102431964229,0.6212761068947034,0.0,0.0,0.12448164083357462,0.0,0.4014591159674209,0.299005280584756,0.0,0.6955414080883189,0.19951964827365568,0.286868608751083,0.3097968067075547,0.5319016652477184,0.3862498027750339,0.24859662079730827,0.11554840243712397,0.3479361319672109,0.5114919885676185,0.0,0.3351967474166709,0.4499764994108174,0.0,0.988428694183339,0.3843871762097503,0.0,0.0,0.10974440701963738,0.36481236064111855,0.3992163602959048,0.5617132170949531,0.23925494936757466,0.20241686652965624,0.2918967044852731,0.055049112835971165,0.11422196742883664,0.44266139707267266,0.0,0.3532763356234158,0.1886576095995899,0.3774116238313756,0.41308640334940727,0.5465360002020667,0.500071618903207,0.28839721550617525,0.3383204356238503,0.6940698066227616,0.07587559161682457
CHEMBL179122,0.43491577335375187,0.7127242386316228,0.4868421052631579,0.49241784909591607,0.4,0.34782608695652173,0.125,0.48508873127629115,0.5288031883928171,0.2727272727272727,0.8571428571428571,-0.025151511596470357,0.513888888888889,0.4558139534883721,0.25,0.4,0.8,0.4128391936464979,0.502980626179253,0.5658627085069667,0.2053703549313023,0.25671665944907984,0.35165180154350567,0.6883852543194736,0.23670941362082198,0.7162498770156633,0.38528004162526835,0.3428754282135046,0.234864141691353,0.4439702867613132,0.5061691293908895,0.4618619818307509,0.5151092749104351,0.48660082308000474,0.6335559715991387,0.6860526904894149,0.4778894462292933,0.5296653345907834,0.5052086244561848,0.6510157068670093,0.6029465885503839,0.1111111111111111,0.3043478260869565,0.5555555555555556,0.49386561502824583,0.22401722802620708,0.38731011654989267,0.17183251539749053,0.13935256343364605,0.0,0.41129064794115033,0.5041623466404863,0.6802012845284143,0.5223497020860692,0.0,0.0,0.12448164083357462,0.0,0.19249884418430818,0.12831271027735164,0.0,0.6955414080883189,0.0,0.4216301148138579,0.3097968067075547,0.5245810869890255,0.3862498027750339,0.41883602566119055,0.11554840243712397,0.3479361319672109,0.42045895080018847,0.18705523579243086,0.49061767069596657,0.39878665659533835,0.3304717009628168,0.988428694183339,0.0,0.0,0.2964579413642089,0.03754129222311883,0.2660836397368528,0.4025332448275514,0.7857714817229231,0.0,0.06611856800699803,0.5666471302878854,0.26914322856205153,0.37410917521827314,0.23343780611113377,0.0,0.04657094027254108,0.19440209294347938,0.4033241454135853,0.5634208299519635,0.553118516526966,0.5353055481523497,0.5214452558229601,0.5828588161513131,0.5643019871781535,0.38196267049063437
CHEMBL179835,0.4119448698315469,0.6961662604571504,0.47368421052631576,0.5014526314939393,0.4,0.47826086956521735,0.25,0.4831060027153552,0.45914862746854157,0.18181818181818182,0.8571428571428571,-0.025154899757376167,0.4814814814814816,0.441860465116279,0.25,0.4,0.8,0.41487723888378825,0.482653450153797,0.5280018985146935,0.3230197010161979,0.35312636725190405,0.48371431555370664,0.5186545156560515,0.23724872500654273,0.68530911881143,0.36824041624403414,0.29841347074301755,0.23416609570960917,0.435525851116609,0.4842590325453042,0.4099488603055764,0.44991324630181834,0.43539767697996934,0.5621951189931332,0.6103174434390373,0.42597632470411884,0.4644693059821668,0.4553414582054277,0.5669564778626813,0.54232783891707,0.2222222222222222,0.3043478260869565,0.4814814811111111,0.4656932168873196,0.3007597137265366,0.2922626891275097,0.0,0.6355547294604157,0.0,0.22624936116971076,0.3885815395461614,0.6248989234207656,0.6212761068947034,0.0,0.0,0.12448164083357462,0.34155017353296674,0.20896027161394967,0.3651832522131095,0.0,0.7056393196277633,0.0,0.286868608751083,0.3097968067075547,0.45104605400131675,0.5924737167062036,0.41883602566119055,0.0,0.3766079535240151,0.4154371264352909,0.0,0.3351967474166709,0.3583288996239703,0.3304717009628168,0.988428694183339,0.3843871762097503,0.5110949629120309,0.2964579413642089,0.10974440701963738,0.3696504960280635,0.6520278774650011,0.3885475637006688,0.23925494936757466,0.2652942447257167,0.046236649472429336,0.11104271497088071,0.37410917521827314,0.44761732275302074,0.0,0.3392764270810861,0.13168438498748322,0.6401428547555957,0.3949249689218032,0.5462735717784434,0.4360508789601695,0.2855443597074525,0.3343946488541495,0.5643019871781535,0.3761600724498344
CHEMBL179842,0.4578866768759571,0.624431855608985,0.4605263157894736,0.465663788995938,0.4,0.43478260869565216,0.25,0.4511625577754861,0.44120048363261843,0.18181818181818182,0.8571428571428571,-0.025155730386823935,0.43672839506172845,0.42790697674418604,0.25,0.4,0.8,0.3711077933261595,0.44340359121713313,0.5041302233665039,0.32301970752802867,0.35312636725190405,0.48371431555370664,0.5186545062615424,0.23731136091887758,0.661000115159489,0.35011982185244933,0.28575934301228456,0.2124134868726533,0.42057618497350036,0.4730673231121083,0.4035751351185779,0.44607494394728203,0.42880260542695936,0.5578589065512402,0.6079006366080116,0.4035751351185779,0.44607494394728203,0.42880260542695936,0.5448549883072592,0.5242420097332173,0.2222222222222222,0.3043478260869565,0.4814814811111111,0.44254665011120214,0.3007597137265366,0.2922626891275097,0.0,0.6355547294604157,0.0,0.23131887155911132,0.33398139305579405,0.5824583093443548,0.6212761068947034,0.0,0.0,0.12448164083357462,0.34155017353296674,0.20896027161394967,0.3651832522131095,0.0,0.7056393196277633,0.0,0.286868608751083,0.3097968067075547,0.4583666322600098,0.5924737167062036,0.24859662079730827,0.0,0.3766079535240151,0.4154371264352909,0.0,0.3351967474166709,0.40951874243944936,0.0,0.988428694183339,0.3843871762097503,0.5110949629120309,0.0,0.10974440701963738,0.3696504960280635,0.3992163602959048,0.5617132170949531,0.23925494936757466,0.09150103509567568,0.2918967044852731,0.11104271497088071,0.11422196742883664,0.44761732275302074,0.0,0.33963000712201197,0.13191440960077966,0.625058344641465,0.4059550620507264,0.5465937891206601,0.4976981008957616,0.289712622700932,0.33981315155723113,0.5643019871781535,0.07587559161682457
CHEMBL179867,0.44104134762633995,0.6181762290582526,0.43421052631578944,0.44391873339417093,0.4,0.34782608695652173,0.25,0.43305555349472136,0.45819927455107257,0.18181818181818182,0.8571428571428571,-0.025156821552174306,0.513888888888889,0.39999999999999997,0.25,0.4,0.8,0.4457026715313137,0.5475409837697393,0.6352040817071012,0.32301970752802867,0.21876073988525305,0.29965958754966654,0.5186545062615424,0.2372461153051812,0.6461446981571662,0.32911395841784524,0.2798714761510048,0.1947085838956628,0.3925790600319994,0.4503159812081472,0.3965088349943082,0.4379375030584945,0.4237235587670888,0.5536351834128421,0.6051022552759971,0.41253629939285075,0.45249356312396,0.4423313601432689,0.5729579047930867,0.5331364645112715,0.2222222222222222,0.3043478260869565,0.4814814811111111,0.4376192523533213,0.3007597137265366,0.2922626891275097,0.0,0.27557016031313625,0.0,0.2840790790833207,0.44637194309332384,0.6248989234207656,0.5223497020860692,0.0,0.0,0.12448164083357462,0.34155017353296674,0.0,0.19449068178906975,0.0,0.7056393196277633,0.0,0.29059126170663263,0.3097968067075547,0.45104605400131675,0.5924737167062036,0.41883602566119055,0.0,0.3766079535240151,0.33125847786732815,0.18705523579243086,0.3351967474166709,0.3583288996239703,0.3304717009628168,0.988428694183339,0.0,0.5110949629120309,0.2964579413642089,0.03754129222311883,0.2709217751237977,0.4025332448275514,0.6053447357360423,0.0,0.06611856800699803,0.6432405083421256,0.11104271497088071,0.37410917521827314,0.23839373179148182,0.0,0.03069066110741532,0.13406286437734058,0.6490379643205101,0.5457703603624393,0.5530824698621682,0.5291127246562336,0.45371067168338036,0.46032207830684346,0.5643019871781535,0.38079548548671005
