smiles,IC50
[Na+].OP(=O)([O-])OC1C=C(Nc2cc3OCOc3cc12)c4ccccc4F,1620
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCc5ccccc5)c4,1650
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCCc5ccccc5)c4,1470
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCCCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,380
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCC(CC3)N4C(=O)COc5ccccc45)c6ccc(c(SCCN7CCCCC7)c6)C(F)(F)F,210
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNC(=O)c6ccccc6)c5)C(F)(F)F,380
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNC(=O)c6ccc(O)cc6)c5)C(F)(F)F,390
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNC(=O)c6ccc(F)cc6)c5)C(F)(F)F,360
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNC(=O)Cc6ccccc6)c5)C(F)(F)F,130
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCNC(=O)C6CCCNC6)c5)C(F)(F)F,420
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)C(=O)N4CCCC4)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,90
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,335
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,335
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCOCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,325
CN1CCN(CC(O)Cn2nc(c3CN(CCc23)S(=O)(=O)C)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F)CC1,1150
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCN(CC3)C4CC4)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,220
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)C4CCCC4)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,218
CN(C)C1CCN(CC(O)Cn2nc(c3CN(CCc23)S(=O)(=O)C)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F)CC1,710
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccc4C#N)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,10
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,62
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)N4CCCC4=O)c5ccc(c(SCCN6CCCCC6)c5)C(F)(F)F,152
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCOCC5)c4)C(F)(F)F,420
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCCC5)c4)C(F)(F)F,712
CC(=O)N1CCN(CCSc2cc(ccc2C(F)(F)F)c3nn(CC(O)CN4CCCCC4)c5CCN(Cc35)S(=O)(=O)C)CC1,1035
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCC(O)CC5)c4)C(F)(F)F,565
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,493
CS(=O)(=O)N1CCc2c(C1)c(nn2C[C@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,395
CS(=O)(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,120
CC(C)S(=O)(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,350
CCCS(=O)(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,300
NC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,235
O[C@@H](CN1CCCCC1)Cn2nc(c3CN(CCc23)C(=O)N4CCCC4)c5ccc(c(SCCN6CCC(F)CC6)c5)C(F)(F)F,1190
O[C@@H](CN1CCCCC1)Cn2nc(c3CN(CCc23)C(=O)c4cccs4)c5ccc(c(SCCN6CCC(F)CC6)c5)C(F)(F)F,355
O[C@@H](CN1CCCCC1)Cn2nc(c3CN(CCc23)C(=O)c4nc[nH]n4)c5ccc(c(SCCN6CCC(F)CC6)c5)C(F)(F)F,205
CC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,385
CCC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,690
OCC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,235
CC(O)C(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,245
COCC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,470
CSCC(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,310
NCC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,810
NC(=O)C(=O)N1CCc2c(C1)c(nn2C[C@@H](O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,70
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCOCC3)c4ccc(Cl)c(SCCO)c4,960
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN)c4)C(F)(F)F,1130
CN1CCc2c(C1)c(nn2CC(O)CN3CCCCC3)c4ccc(c(SCCN5CCC(F)CC5)c4)C(F)(F)F,9000
CS(=O)(=O)N1CCc2c(C1)c(nn2CCCN3CCCC3)c4ccc(c(SCCN5CCCCC5)c4)C(F)(F)F,520
OC(CN1CCC(CC1)c2ccccn2)Cn3nc(c4CNCCc34)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F,60
CCN1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F,250
OCC(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F,160
OC(CN1CCC(CC1)c2ccccn2)Cn3nc(c4CNCCc34)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F,110
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CC[C@H](O)C6)c5)C(F)(F)F,30
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CCCCC6)c5)C(F)(F)F,1540
C[C@H]1CCCCN1CC(O)Cn2nc(c3CN(CCc23)S(=O)(=O)C)c4ccc(c(SCC(=O)N5CCOCC5)c4)C(F)(F)F,300
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CCCC6)c5)C(F)(F)F,470
CS(=O)(=O)N1CCc2c(C1)c(nn2CC(O)CN3CCC(CC3)c4ccccn4)c5ccc(c(SCC(=O)N6CC[C@@H](O)C6)c5)C(F)(F)F,7
Cc1noc(n1)C2CCN(CCCn3nc(c4CN(CCc34)S(=O)(=O)C)c5ccc(c(SCC(=O)N6CCOCC6)c5)C(F)(F)F)CC2,20
