ID,pchembl,MolLogP,HeavyAtomCount,HeavyAtomMolWt,HAccept,Heteroatoms,HDonor,MolWt,MolMR,RotableBonds,RingCount,Ipc,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,BalabanJ,BertzCT,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,NHOHCount,NOCount,FractionCSP3,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,IC50
CHEMBL1088572,-1.2554773353343318,-3.1159936032185556,-1.130497074549669,-0.8547943796572747,-0.22239763793708803,-0.04615738563688539,0.6674182828598131,-0.9453393152449064,-1.4621149265423143,-1.4785219617863616,-0.027803497898213826,-0.025157764770682444,2.294950253080794,-1.2699253652898033,-1.3471381438355075,0.23659884437394826,-0.33636276314964986,1.078000328674595,0.7102613965685527,0.8538470338580197,9.421793400139336,7.769537936246787,5.730905486593585,-5.317124425594025,-3.971948828011246,-0.7310132809741475,-0.9302458179492582,-1.1263396986317271,-0.9831715524573472,-1.3079536223262127,-1.2772539050097136,-1.3148937638956966,-1.553786880705462,-1.5586407619239682,-1.4122551305936135,-1.217111654914188,-0.8015633888132586,-1.158045606841207,-1.2076069471820983,-1.2550404942441882,-1.0760986932671344,0.5789249650154455,-0.38759344320466266,-2.3812122330413628,-0.7725959463573919,2.2105596673998438,-0.7370266008029472,-0.6986222647787469,-1.350550891664674,-0.42530707035107385,-0.8855011664204983,-1.2113561372244825,-0.14212853364649516,-1.9042667318016178,-0.04772673196653009,1.2608935955093714,-0.3699431957346338,1.4762865534178404,6.653192566233209,3.9223859309788964,-1.2462861519992352,-2.8125656317081904,-0.8643593844706345,-1.962712116900192,-0.6330541903618615,0.31465309876924075,0.07772508557361453,-0.39187161307687035,7.480811814837739,-1.7819898961704506,-0.9981817474780653,-0.8636781450860064,-1.4275656680658337,0.1608841404304158,-0.5823876672775942,-0.2114122995174087,0.254148110473139,3.55316820058951,0.056144948160808825,-0.2200579339837093,1.4904398700867203,0.21405442885063275,-1.356209247342324,-0.32452693605905797,1.1184629547260252,-0.9777977793208313,-1.1929814088092567,1.0419223882591426,-0.5478339170371506,-0.1363628559271987,0.27680138111155417,-0.295449759916765,-1.6179153219647693,-0.021899616580527227,0.28749377468585063,-0.08807696811170819,-0.40118878924370555,-1.1854663821661788,-1.6774490241328834,-0.658996338617233,0.04909777254335515
CHEMBL1089021,-1.2634284203890513,0.8185153111246178,0.23444499797606105,0.4158943931335871,0.3562751634057957,-0.04615738563688539,-1.392788006865503,0.42961358671746214,0.6493805960947376,0.5175142295486042,0.7052820633513501,-0.025157577097947,1.5883389444596772,0.2569259110185751,-0.440641953470653,0.23659884437394826,0.7257647644007422,-0.5167367680455313,-0.015414627722529304,0.5604284368159748,-0.6009263303473306,-1.3810857877279274,-1.393806827894851,0.37435754531263404,-0.5006455730883537,0.3516124376016439,0.23913963243340422,0.42940594120297854,0.2869382531183736,0.11810575601438454,0.29061312482523866,0.30294014383415124,0.3299651341368564,0.1538941229734075,0.22869283401097912,0.2708685017789789,0.5827324645837426,0.9116158650367255,0.8052638009344136,0.8750256327580216,0.8094592930398665,-1.3431302178899795,-0.38759344320466266,-0.12644935185371803,0.4359656046857872,-1.4943723604909316,0.023679152935715885,0.0054462471373040834,-0.20065010725572674,2.5186946458538317,0.7600089414202521,-1.2200051221336514,1.6356932896873653,0.8617438658513685,-1.4879449206217557,-0.7901783871088313,0.2194964856421509,-0.6444553763142087,-0.9674069357353404,-0.6795462243323073,-1.2462861519992352,0.09196336629439786,-0.8643593844706345,-0.5910959591575156,1.2277964967511434,0.7999925360133806,0.04585944046370765,0.6527714645341148,-1.5072608457613432,0.6149088283752663,1.595660278168533,-1.580591222832326,-1.0826252058471826,0.7711680739675322,0.8848470934406027,0.4629543144839065,-1.1040139213218891,-0.5717592202805314,1.708471700802372,-0.6773708425484548,-1.9073879947906789,-0.01846672243180282,1.9006669882507952,-0.34958705225811154,0.07221685825777041,0.5209583909944084,0.5056445165286881,1.3473722312934193,-1.0929059925393194,-0.1363628559271987,0.022316670131242902,-1.3893242594308137,-1.1521930225527177,1.3456973184336924,0.4789481173112907,1.2202373273454221,0.23398068937816363,0.8461570031146365,-0.9397245685743622,1.266354862566881,0.05383118762864597
CHEMBL1089022,-1.2236729951154524,0.852009548136793,0.3585306409329456,0.5157977959613085,0.3562751634057957,-0.04615738563688539,-1.392788006865503,0.5404948453028557,0.8067714771381831,0.8501869281044317,0.7052820633513501,-0.025157460784398903,1.5883389444596772,0.3916480824575497,-0.440641953470653,0.23659884437394826,0.7257647644007422,-0.5272791431889431,0.009619748886277809,0.6132600388994701,-0.6009263303473306,-1.3810857877279274,-1.393806827894851,0.37435754531263404,-0.5911404660917059,0.3975298587386463,0.39252278673711455,0.6503655809325318,0.3919891935214824,0.24069324112235282,0.4217854596855872,0.4561759763205451,0.5048235880747302,0.28334898196468,0.36276681789632564,0.40204901976942947,0.7233713153168636,1.057306448511685,0.9412157098443397,0.9473830604069434,0.9282120100866127,-1.3431302178899795,-0.38759344320466266,0.01359803338620817,0.5674907908437349,-1.4943723604909316,0.023679152935715885,0.0054462471373040834,-0.20065010725572674,2.5186946458538317,0.7600089414202521,-0.868780257653886,1.6356932896873653,0.8617438658513685,-1.4879449206217557,-0.7901783871088313,0.2194964856421509,-0.6444553763142087,-0.9674069357353404,-0.6795462243323073,-1.2462861519992352,0.09196336629439786,-0.8643593844706345,-0.5610326320641698,1.546984800787365,0.7999925360133806,0.04585944046370765,0.6527714645341148,-1.5072608457613432,0.8396113440679561,1.651668970093458,-1.580591222832326,-1.0826252058471826,0.7711680739675322,0.8848470934406027,0.4629543144839065,-1.1040139213218891,-0.5717592202805314,1.708471700802372,-0.6773708425484548,-1.9073879947906789,-0.31685417107640707,2.37257722298149,-0.34958705225811154,0.07221685825777041,-0.0785440768352157,1.4230658829758271,1.3473722312934193,-1.0929059925393194,-0.1363628559271987,0.023995613963763384,-1.3875281951532106,-1.1478486829757846,1.3805346456361405,0.5253971173665651,1.2497536514382073,0.46204363316564134,0.8514510331737222,-0.9393535161989203,1.2796769631613434,0.02543069711690103
CHEMBL1089273,-0.7545589768869804,1.452777945181061,0.7307875698035993,0.7783031155219531,0.3562751634057957,0.5971993022710718,-1.392788006865503,0.8457483336848011,0.9092517939712796,0.8501869281044317,0.7052820633513501,-0.025156827083857042,1.9840412772875025,0.9305367682134479,0.4658542368942014,1.0853502543503337,-0.33636276314964986,-1.6403997664388987,-1.6395962558718826,-1.417792976044331,0.015306694534622151,1.007724636249808,-0.18832772884458357,1.5131981127030105,-0.4914396841301449,0.24492570258562385,0.8975142230249621,0.9340865959308745,0.8779905515336415,0.6741054518918785,0.7395700800067617,0.9222683948528634,1.111603584609247,0.9847617482101051,1.0614358895798612,1.2136834022688063,1.0007986579252168,1.4527386763099992,1.343754246289224,1.2846744682544107,1.4562335028444282,-1.3431302178899795,-0.38759344320466266,1.6043431472745497,0.80164076882329,-0.7244766593567225,-0.7193224198401696,0.0054462471373040834,1.4099187696336557,2.5186946458538317,-0.5746591838218268,1.6705894665978729,1.1137016570531844,-0.2995028247690796,-1.4879449206217557,-0.7901783871088313,0.2194964856421509,-0.6444553763142087,0.6249956060571373,0.11029037105189136,-1.2462861519992352,0.8415800257570222,-0.8643593844706345,1.1618588108285142,1.903216740110606,-0.7661659678084077,0.04585944046370765,-0.20193248450884876,-1.5072608457613432,1.281778989995764,1.2339829245692595,-1.580591222832326,1.1282026618309984,-0.9189979208198438,-0.5823876672775942,0.4629543144839065,0.6710443967173464,-0.5717592202805314,0.47498484116322026,-0.12506512288351695,-0.9799589071322194,0.6936994035490638,1.7719223352573938,2.9269675503192634,-0.6612863729974748,-0.7464606064008082,-0.8539953032774783,-0.6130219205064464,0.22898221949541245,-0.1363628559271987,1.381119068074734,-1.2865717740947762,-1.2945189488753106,0.32785736435794904,0.36852461884650856,-0.9853000972597772,0.830366312349538,1.2063941140400747,-0.9921416829425668,-0.3688668640543434,-0.1465500509819989
CHEMBL1089274,-0.5478307654642641,1.7712490316897693,2.0957296423293292,1.9601842426553686,1.513620766091563,1.5622343341330074,-1.392788006865503,2.0088118696828525,2.157319117371884,1.1828596266602593,2.1714531858504778,-0.024869294495122884,-0.14992487474827107,2.1430363111642188,0.4658542368942014,1.9341016643267195,0.7257647644007422,-1.3449214947475654,-0.8691511275786714,-0.1937088412620207,1.0572750470574361,1.007724636249808,1.2977148449005484,-1.175404274834926,-1.3751214310145767,1.8102210652833428,1.9135027484601035,1.7321810463237837,1.087948995580038,1.9608690755576947,2.1457829871582144,2.1467696826279856,2.3005487985806456,2.109143153212636,2.2324796346286604,2.4265916718361313,2.1246379941631233,2.443357763018823,2.195719530092486,2.1544159891604084,2.349790087883817,-1.3431302178899795,1.054035460752491,0.7426014487639431,2.0790078104191863,0.7409338875392408,0.007700905897188773,0.0054462471373040834,1.4099187696336557,2.5186946458538317,-0.31260311885894687,1.6182527909205502,1.8766335297670536,0.22164345129050786,-0.7933369627048791,0.3882860529836725,0.2194964856421509,0.9569876478468974,0.6249956060571373,1.0028570660669387,-1.2462861519992352,0.8415800257570222,-0.8643593844706345,1.1448019706634744,2.54165352001077,0.3087637634630749,0.8040482101249157,0.6523018663413495,0.25175379511720214,2.0065598136293175,1.6360018114276558,-1.580591222832326,0.7597313507425916,0.4331348748986117,-0.5823876672775942,0.4629543144839065,1.437520323397747,1.4907044894370496,0.47498484116322026,-0.12506512288351695,0.5243175700497353,0.6936994035490638,2.773131515767199,1.4332495824241156,-0.6612863729974748,0.6946585924405939,-0.8539953032774783,-0.04463959133382496,0.7101699971239379,-0.1363628559271987,1.621832937088085,-0.34031518146285017,-1.2865084371863151,0.549168915004359,0.6915546570793859,0.42906945300956284,0.28170699677591826,0.907870073171083,-1.019413751703772,-0.3739730723954642,-0.17337273646531356
CHEMBL1089275,-0.7545589768869804,0.2830803787464524,1.9716439993724448,1.893451664111799,1.513620766091563,1.883912678086986,0.6674182828598131,1.9135189651240072,1.8791443980918923,1.515532325216087,1.438367624600914,-0.02503553182186816,-0.6162883384382085,2.008314139725244,0.4658542368942014,1.0853502543503337,0.7257647644007422,-0.4813888043293863,-0.2143806672689987,-0.05366126461264952,0.015306726803143048,1.0077246594458982,0.9431885033106856,0.20751872119301276,-1.0281443264648185,1.7414997739575713,1.930387782443735,1.7178139315620387,1.379643663448229,1.939836388849411,1.9677472893805803,1.8924135179388215,1.904265241413138,1.7365476359775398,1.713407443518708,1.8497535561946037,1.8911915586953194,2.113177658110773,1.9133967853433176,1.7773474231666533,1.8501846180904193,0.5789249650154455,1.5345784287382092,0.36651744136746645,1.9117985392534744,0.8605391640546585,0.7347242311796405,0.0054462471373040834,1.4099187696336557,2.5186946458538317,-0.3288650918629993,-0.15820957342908826,2.615545551220031,0.859524268869583,-1.4879449206217557,-0.7901783871088313,1.29737578166737,0.9569876478468974,0.6249956060571373,1.486458038080558,-1.2462861519992352,1.6549732368603147,-0.8643593844706345,0.8415584366529495,1.5400909175368824,0.8239501013150677,0.04585944046370765,0.6684952378672815,-0.5367794094346958,2.1614704282094905,1.6360018114276558,-1.580591222832326,0.6172020126205003,0.7711680739675322,-0.5823876672775942,0.4629543144839065,0.6710443967173464,-0.5717592202805314,0.47498484116322026,0.16210074921494208,2.5256595169481746,1.005601188488027,1.4758275873936144,0.008574751978995487,1.4618495130070261,-0.735683516830445,-0.8224728470602438,-0.6130219205064464,1.7038574131440827,-0.1363628559271987,1.3896070759502699,0.24918332595878082,1.0644753772489197,0.09842827476098673,0.13368691827450122,0.5285908943754252,-0.6380145346673637,-0.13967983781324161,-1.0550670297458158,-0.4346270238433405,-0.1465500509819989
CHEMBL1089276,-0.7625100619417001,0.051063828713876845,2.0957296423293292,2.0265258912236734,2.0922935674344467,2.2055910220409642,1.697521427722471,2.0399885777359503,1.932981328184583,1.515532325216087,1.438367624600914,-0.024984804990545156,-0.8989328618866556,2.1430363111642188,0.4658542368942014,1.0853502543503337,0.7257647644007422,-0.48977261153310236,-0.30507522861168573,-0.1937088412620207,1.4831918528599157,1.0077246594458982,1.2977148710360586,-1.5734678714440142,-1.0400736185515034,1.877621432542281,2.053909822709573,1.752887262088026,1.3638118220120596,2.0907060508128863,2.0710709111643686,1.9725659306723209,1.9512288648585356,1.812121383400729,1.7627767368255929,1.8659787990873304,1.964754921011173,2.1523073515729445,1.9706604581910858,1.814014305261302,1.862137849010207,1.539952556468158,2.0151213967239268,0.36651744136746645,2.010866601455831,1.637060448954475,0.7347242311796405,0.0054462471373040834,1.4099187696336557,2.5186946458538317,-1.1638192040204,0.5054621739399849,2.615545551220031,0.859524268869583,-0.7933369627048791,-0.7901783871088313,1.29737578166737,0.9569876478468974,0.6249956060571373,1.964658115453638,-1.2462861519992352,1.6549732368603147,-0.8643593844706345,0.8415584366529495,1.5400909175368824,0.5552176684971972,0.8040482101249157,0.6684952378672815,-0.5367794094346958,2.3609278858499305,1.6360018114276558,-1.580591222832326,0.6172020126205003,0.4331348748986117,-0.5823876672775942,0.4629543144839065,0.6710443967173464,1.4907044894370496,0.47498484116322026,0.4400086390072038,2.512877810540832,1.005601188488027,1.4758275873936144,1.890253250433039,-0.7628371470140737,-0.735683516830445,-0.8224728470602438,-0.6130219205064464,2.2163570515357023,-0.1363628559271987,1.3902590064610336,0.24813578867869485,2.665182904299551,0.0060260800485863195,0.05867816818223412,-0.020955049271900138,-0.6598208429226434,-0.1871150695362064,-1.0612427803997158,-0.44336370566620736,-0.1449722459535686
CHEMBL1089277,-0.7386568067775403,0.39270504623806674,2.0957296423293292,2.0514705507091735,1.513620766091563,2.2055910220409642,0.6674182828598131,2.0557271238144774,1.8777861862563003,1.515532325216087,1.438367624600914,-0.024984804990545156,-0.7152139216451646,2.1430363111642188,0.4658542368942014,1.0853502543503337,0.7257647644007422,-0.48977261153310236,-0.30507522861168573,-0.1937088412620207,0.015306726803143048,1.0077246594458982,0.9431885033106856,0.20751872119301276,-1.0400736185515034,1.8794214352969023,2.0739931863963434,1.7804359153950975,1.388532106497618,2.0907060508128863,2.0710709111643686,1.9575590792289195,1.939120070798777,1.795413962599141,1.750590610686847,1.8579338740131133,1.9509817301345707,2.142218406875017,1.9580009261242852,1.8049635934652213,1.8562111058618738,0.5789249650154455,1.5345784287382092,0.36651744136746645,1.9978751775519616,0.8605391640546585,0.7347242311796405,0.7729803517375735,1.4099187696336557,2.5186946458538317,-1.1638192040204,0.5054621739399849,2.615545551220031,0.859524268869583,-0.7851569263564857,-0.7901783871088313,1.29737578166737,0.9569876478468974,0.6249956060571373,1.897597869937709,-1.2462861519992352,1.6549732368603147,-0.8643593844706345,0.8415584366529495,1.5400909175368824,0.8129132366244353,0.04585944046370765,0.6684952378672815,-0.5367794094346958,2.1614704282094905,1.6360018114276558,-0.8636781450860064,0.6172020126205003,0.4331348748986117,-0.5823876672775942,0.4629543144839065,1.2627305031796507,-0.5717592202805314,0.47498484116322026,0.7136843424718701,2.4977944055435914,0.6750845072983436,1.976162621345565,0.949414001593745,-0.7628371470140737,-0.735683516830445,-0.8224728470602438,-0.6130219205064464,2.1444868172894758,-0.1363628559271987,1.8821689894735463,0.2436858616020421,1.042617547858126,-0.04178882462847946,-0.21132706813034008,-0.1552974589814189,-0.6703248278141911,-0.21025753410777065,-1.0638653851050235,-0.44801688638197584,-0.14970566103885943
CHEMBL1089278,-0.380857979315147,0.22704649047431888,2.0957296423293292,1.9933550669395215,1.513620766091563,1.883912678086986,0.6674182828598131,2.0244002237094016,2.0208026587064003,1.8482050237719148,1.438367624600914,-0.024968303491199117,-0.6162883384382085,2.1430363111642188,0.4658542368942014,1.0853502543503337,0.7257647644007422,-0.48977261153310236,-0.1922600441251783,-0.003244134443793937,0.015306726803143048,1.0077246594458982,0.9431885033106856,0.20751872119301276,-1.073846844480952,1.7896872163694135,2.084808560738828,1.932420179331352,1.5664856479055194,2.062423873957379,2.094502592623011,2.045649348258133,2.0641232110837775,1.8996904078961638,1.8232897663004555,1.9738659405765067,2.0318304094284403,2.2463699650878928,2.037013181739713,1.858957710377877,1.9416189338660907,0.5789249650154455,1.5345784287382092,0.46174966615397084,2.0433237254114207,0.8605391640546585,0.7347242311796405,0.0054462471373040834,1.4099187696336557,2.5186946458538317,0.22777098315328853,-0.5175553926271114,2.3936828151121183,1.4478766548096624,-1.4879449206217557,-0.7901783871088313,2.37525507769259,-0.6444553763142087,0.6249956060571373,1.486458038080558,-1.2462861519992352,1.6549732368603147,-0.8643593844706345,1.130541224436841,1.5400909175368824,0.8239501013150677,0.04585944046370765,0.6684952378672815,-0.5367794094346958,2.1614704282094905,2.5764024998031094,-1.580591222832326,0.3420581900669271,0.7711680739675322,-0.5823876672775942,0.4629543144839065,0.6710443967173464,-0.5717592202805314,0.47498484116322026,0.16210074921494208,3.0461780383070645,0.6750845072983436,1.7052556501879734,0.008574751978995487,-0.7628371470140737,0.7630726534353828,-0.8224728470602438,-0.6130219205064464,1.7038574131440827,-0.1363628559271987,1.3930547032239426,0.24823916840148808,1.0727277188184992,0.24270711104185166,0.18441685328523505,0.6460427906417953,-0.596219140526025,-0.12859551713952191,-1.0550438930360402,-0.4320423141060635,-0.18599517669275575
CHEMBL1089279,-0.7863633171058598,-0.7526402396394539,1.9716439993724448,1.9100537115719725,2.0922935674344467,2.2055910220409642,1.697521427722471,1.969137453425628,1.8735886649167817,1.515532325216087,1.438367624600914,-0.02503553182186816,0.4294963983210446,2.1430363111642188,1.3723504272590559,1.9341016643267195,-0.33636276314964986,-0.04543054810714953,0.36075554033670093,0.43183700242572143,0.015306726803143048,1.0077246594458982,0.9431885033106856,0.20751872119301276,-1.0610248236695037,1.311981510826484,2.044641605316408,1.8763735306730895,1.5228235927376739,1.939836388849411,1.9677472893805803,2.0048907137155365,2.1321389950287446,2.0342387306161864,2.0541111538271446,2.224779919049242,1.9944223971355375,2.3030401404513885,2.1389630174586047,2.0303902025630376,2.1264687234100035,1.539952556468158,2.0151213967239268,1.5112812356793655,1.93890242578507,1.669033702870351,0.7347242311796405,0.0054462471373040834,1.4099187696336557,2.5186946458538317,-1.1638192040204,0.23857262050508107,2.6546786312298156,1.4017935211438797,-1.4879449206217557,-0.7901783871088313,2.37525507769259,-0.6444553763142087,0.6249956060571373,1.486458038080558,-1.2462861519992352,2.4683664479636067,0.27449143407647336,1.4195240122207318,2.2663425632391645,-0.7661659678084077,0.04585944046370765,0.6684952378672815,0.4337020272570146,2.672737819987315,2.0380206982860516,-0.8512697215151966,0.7597313507425916,-0.9189979208198438,-0.5823876672775942,0.4629543144839065,0.6710443967173464,-0.5717592202805314,0.47498484116322026,0.16210074921494208,3.0054080420114424,1.063899107680185,2.2752924742990515,0.008574751978995487,-0.7628371470140737,-0.735683516830445,-0.4204418278841503,-0.6130219205064464,1.7038574131440827,-0.1363628559271987,1.3924851039356176,0.2591749584708208,1.6317819435951515,-0.0371710899974381,0.18788404984211662,-1.0234642068832585,-0.23028609059596944,0.3817385124651958,-1.0517211442252679,-0.42628846304401596,-0.1402388308682778
