ID,MolLogP,HeavyAtomCount,HeavyAtomMolWt,HAccept,Heteroatoms,HDonor,MolWt,MolMR,RotableBonds,RingCount,Ipc,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,BalabanJ,BertzCT,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,NHOHCount,NOCount,FractionCSP3,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,pchembl
CHEMBL1076795,0.409806809606637,1.103044498674253,1.1277861957494437,0.9349479647486794,1.2405559901790288,-1.392788006865503,1.1858542829709318,1.1802797319258913,1.1828596266602593,0.7052820633513501,-0.025154691190767714,1.235033290149119,1.2897958920507133,0.4658542368942014,1.0853502543503337,-0.33636276314964986,-0.41203180675762413,-0.13072449311819312,-0.13310643384570245,0.015306693636302694,1.0077246363043058,0.2865292886372333,0.9652510275461206,-0.6682786149672602,0.6625858424335023,1.2794428374077238,1.0482675801456505,0.8462683424764734,1.1267144365821258,1.058375010973994,1.3148335055842129,1.263443402653661,1.303262418535837,1.2417212080711755,1.3511521184537598,1.3610923696772155,1.5792503269756115,1.585088294489223,1.4185735018544217,1.6124276605169594,-1.3431302178899795,0.5734924927667732,1.4420813534883612,1.1381808871067478,0.020625423134280896,0.007700905937339216,0.005446247220997679,1.4099187699894984,2.518694645956092,-1.1638192039725468,0.6583760706394853,2.3936828150039635,-0.2995028247654512,-1.48794492061249,-0.7901783871121252,1.29737578225001,-0.6444553763086611,0.6249956061445893,0.5592741660166742,-1.246286151999235,1.5911966848404322,-0.8643593844610242,0.8558191829393382,2.3221495699363626,-0.7661659675981435,0.04585944009639734,0.233281376851694,-1.5072608457880492,2.2348074214758524,1.6360018113959067,-1.5805912227658776,0.3912600392515085,-0.9189979207636352,-0.5823876672938049,0.4629543140845201,0.6710443969865311,-0.5717592203002694,0.47498484112973105,-0.12506512274750511,-0.5010799355392997,1.8229029221758808,1.4969159109509669,0.9353435925762751,-0.6612863729298334,0.19213257021458288,-0.8539953032997273,-0.6130219204737548,0.710169997272934,-0.13636285591867348,1.3698741520348916,-0.4009472021855491,-1.2973670399494996,0.2456553949075286,0.4613829144451089,-0.9478396729644835,-0.0723178286031469,0.5914403043477666,0.5915182717155244,-0.38720724783483,-1.1844454118552636
CHEMBL1076796,0.3350949585771255,2.3439009282430985,2.2097639200551336,2.0922935674344467,2.2055910220409642,0.6674182828598131,2.253972727583139,2.3424563259138447,1.8482050237719148,1.438367624600914,-0.02473606596047151,-0.8989328618866552,2.412480654042168,0.4658542368942014,1.0853502543503337,0.7257647644007422,-0.5056087042447315,-0.3677503257874476,-0.36653792312908784,0.01530673494399755,1.007724665998168,0.9431885001663199,0.20751872562428436,-1.069835409444053,2.0153697811747793,2.363209305531272,2.042982239046078,1.5852513277991653,2.364163196954711,2.30998390114107,2.405982310135208,2.264025177472134,2.1858882102911745,2.0353962965846306,2.073796576652891,2.3625416621652184,2.4129265908923188,2.2538707263426883,2.016490560526784,2.0152384157605985,0.5789249650154455,2.0151213967239268,0.5518341982391415,2.2938701353381794,1.6056412467050802,0.7347242316959406,0.005446247220997679,1.4099187699894984,2.518694645956092,-1.1638192039725468,0.505462173916442,3.404453420090196,0.8595242691987518,-1.48794492061249,-0.7901783871121252,1.29737578225001,0.9569876478476322,0.6249956061445893,1.4864580381132102,-1.246286151999235,1.6549732369621366,-0.8643593844610242,0.8415584364798735,2.594013584854387,0.5552176684121132,0.04585944009639734,1.087515727245681,0.3576084980374477,2.712024894517087,1.6360018113959067,-1.5805912227658776,0.6172020123837592,0.43313487515090976,-0.5823876672938049,0.4629543140845201,1.4375203228961773,-0.5717592203002694,0.47498484112973105,0.16210074924418472,2.52565951727578,1.0056011885877254,1.7103665275213575,0.008574751863537709,0.12703751695515633,0.8024121279440252,-0.8224728466927209,-0.6130219204737548,1.7038574131943798,-0.13636285591867348,1.402324204059823,0.39098921736238024,1.0783317639096484,0.42390115653455845,0.12376652896023743,0.24730618251123263,-0.6437431416386803,-0.15067834552691706,0.5454898510801847,-0.4346982782403681,-0.8744661836838195
CHEMBL1077193,0.605318581794413,-1.7509252893340919,-1.8272950755707902,-1.9584160419657393,-2.2979057933147353,-1.392788006865503,-1.7978610216623514,-1.4407069209432295,-1.4785219617863616,-1.4939746203973416,-0.025157767534752476,1.1219754807697406,-1.7639066605660434,-1.3471381438355075,-1.460903975578823,-0.33636276314964986,0.14140870123755767,0.37718800545878,0.20989493816253668,-2.961285463207348,-1.1319860839637945,-1.224090775106409,2.708385972024211,2.2258862028028212,-1.4327375647039795,-1.5999516958479023,-1.5611029873112094,-1.0538759277921739,-1.6800404969469,-1.7939670702164003,-1.4225839418564115,-1.544459367446444,-1.2292380475079931,-1.644408157190818,-1.6158950132566299,-1.4760831146824995,-1.5860185445357586,-1.3214913004533788,-1.620975426025921,-1.606841758294926,-1.3431302178899795,-2.3097653151475344,-0.5185820241438498,-1.6738482290467227,-2.214680824414662,-1.4292512012192888,0.2764458450611514,-0.7071311783513966,-0.42530707035496507,0.9580097057705237,-0.9238001491599506,-0.8328387409622936,-1.382521024751129,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,-0.9674069357639725,-1.9114126001149023,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,-0.16928506407332453,-1.3049441323416617,-0.2171412121054139,0.8462083350850162,-1.8069641646307073,-1.5072608457880492,-1.8491092991899638,-0.7678461525481006,-0.1841472468763163,0.5216784800186288,-0.5157201491952338,-0.5823876672938049,0.4629543140845201,-1.1040139213346205,-0.5717592203002694,-0.7756147367962062,-1.1489244128605973,-0.9962408571498125,-1.4759351833129106,-0.12759442385503816,-0.8346939639125257,-1.1062237048919312,-0.0785440770562821,2.6292305823194857,-0.5934381713297449,-1.9377301895985024,-0.13636285591867348,-1.2439793724630552,-1.0532070616764149,-0.5800355729675586,0.96388190150194,0.21420498313106603,0.503373757817136,-0.016872356687395892,1.6708674517101851,0.458632121570713,-0.658996338613722,-0.5247460288237296
CHEMBL1077194,0.49766416353880943,-1.9990965752478609,-2.0271018812262334,-1.9584160419657393,-2.2979057933147353,-1.392788006865503,-1.9718150372344752,-1.734210030939186,-1.4785219617863616,-1.4939746203973416,-0.02515776754852829,2.224289122218683,-1.898628832005018,-0.440641953470653,-0.6121525656024372,-1.3984902907000418,0.25285667538761797,0.009619749909654873,-0.03832973894868834,-2.966628002598585,-1.1358265458767918,-1.2237978326107637,2.708047939772993,1.471944149234432,-2.0807051176548352,-1.7904966223834646,-1.1583881984010571,-0.8893324751907382,-2.019147398709015,-1.9527306440373116,-1.7004695773243652,-1.4452081316018572,-1.542291177133476,-1.3704685937155094,-1.135486568559453,-1.731124747749656,-1.5033232550847362,-1.5586976400889923,-1.4175187969246035,-1.2529220596331663,-1.3431302178899795,-2.3097653151475344,1.5891311068107774,-1.8929519009241755,-2.214680824414662,-1.4292512012192888,0.2764458450611514,-0.7071311783513966,-0.42530707035496507,0.6429960258660387,-1.153717194067915,-0.5916376261802803,-1.9042667317894748,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,-0.9674069357639725,-1.9114126001149023,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,0.941376508695429,-1.3049441323416617,-1.2862909980080788,-0.6383035599638461,-1.8069641646307073,-1.5072608457880492,-1.8491092991899638,-1.221889652296889,-0.1841472468763163,2.2560795376971243,-1.8678529451097787,-0.5823876672938049,-0.9023579950510611,-1.1040139213346205,-0.5717592203002694,-0.7756147367962062,-1.1489244128605973,-1.9073879947809307,-0.7783413393678039,-0.35702248671579445,2.219227190955388,-1.1062237048919312,-0.977797779316693,0.5998967315052948,-0.5934381713297449,-1.9377301895985024,-0.13636285591867348,-1.2439793724630552,-1.0439779995990286,-0.5854701263150259,0.23983874455944493,0.5085407366037147,-0.9908094194787321,2.149588632393509,-0.4897266433096162,0.458632121570713,-0.658996338613722,-1.375201859960767
CHEMBL1078411,-1.0349533121689014,-1.6268396463772072,-1.5274018785885648,-1.3797432406228556,-1.6545491054067782,0.6674182828598131,-1.5447241753174419,-1.3952035906132048,-0.8131765646747063,-0.7608890591477777,-0.025157767467293674,1.1926366116318527,-1.674091879606727,-0.440641953470653,-0.6121525656024372,-0.33636276314964986,2.114544425394294,2.0025080009050944,1.6676507691975568,-1.2926198961016158,-1.067632813237916,-1.040632936093523,1.020817193721177,0.08439104484888582,-1.3864178415541244,-1.6669677244747558,-1.6074941675779242,-1.4096660374983585,-1.6590078096213339,-1.6080711849819385,-1.6639598071316832,-1.5867285251106427,-1.4929044253445238,-1.3082175943904373,-1.2907077964438929,-1.5352205606441174,-1.3649225861909742,-1.1944275764951284,-1.0189036339321071,-0.9745148367259556,1.539952556468158,-1.8292223471618163,-1.187514235336016,-1.5316474623533427,-0.5342992886093885,-0.7022278754606873,-1.4661563697602755,-0.7071311783513966,2.412292279213456,0.22777098319366385,-1.257546600101821,-0.5952222020850331,-0.7945065300537096,-0.818778273016268,-0.7901783871121252,-0.5315677249305846,-0.6444553763086611,-0.9674069357639725,-1.4624288049070147,0.7273121387543089,-1.9991724198579226,0.23903628428757384,-0.8719034774200776,-1.3049441323416617,0.2644575111840707,-0.6383035599638461,-0.5365080083907894,0.5097955559609438,-1.5553836958852536,-0.8198707650920559,-0.1841472468763163,-1.1091566948053868,0.4601368497069387,-0.5823876672938049,-0.9023579950510611,-1.1040139213346205,-0.5717592203002694,0.42978556213426905,-0.604098216436946,-0.9487604985629007,-0.7130315587873289,-0.9256552404878081,-1.2661147357106113,-0.2747278187003567,1.3863004362093447,-0.7340549009167779,-0.536829166545398,-0.9284501665038403,-0.13636285591867348,-1.2439793724630552,-0.7471785914075553,0.30447214577791104,1.7199278851913904,0.0054660796264693135,1.039027151116659,-0.18690165626036828,-1.1983945581497586,0.458632121570713,-0.2912957289599154,-1.7090256441453986
CHEMBL1079000,0.38567519696398134,-1.7509252893340919,-1.6529486242618339,-1.9584160419657393,-1.3328707614527995,-1.392788006865503,-1.7038803213471212,-1.8836780096083485,-1.4785219617863616,-1.4939746203973416,-0.025157767534752476,0.8251987311488721,-1.7639066605660434,-1.3471381438355075,-1.460903975578823,-0.33636276314964986,0.4943272860460798,0.6565398796761156,0.44570838141820285,-0.0017089398376116545,0.9954930199330208,-1.2240907751132921,2.7083859720321533,2.2258862028028212,-1.4005848145796163,-1.6327850953237004,-1.6068481268224544,-1.0979637623532204,-1.6800404969469,-1.7939670702164003,-1.8269845210535687,-1.8707638790769536,-1.9614715228981792,-1.9288008724138623,-1.8181651219513133,-1.8472393421645823,-1.8578927011529347,-1.8763185997803726,-1.8321956763840515,-1.7558553252038682,-1.3431302178899795,-2.3097653151475344,-1.3812739103020228,-1.8101938733360756,-2.214680824414662,-1.4292512012192888,0.2764458450611514,0.9034376989156472,-0.42530707035496507,-0.2732679501828519,-1.1924951761463756,-0.8328387409622936,-0.8727311337066356,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,0.6249956061445893,-0.6779931052000009,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,-1.069873501753642,-1.3049441323416617,-0.2171412121054139,0.8462083350850162,-1.8069641646307073,-1.5072608457880492,-1.8491092991899638,-0.7040109579202242,-0.1841472468763163,-0.670317813268741,-0.5157201491952338,-0.5823876672938049,0.4629543140845201,0.6710443969865311,-0.5717592203002694,-0.7756147367962062,-0.5966186932377051,-1.435219385869802,-0.08743048300323643,-0.5910895435563894,-0.325275486337414,-0.6612863729298334,-0.33578991784004697,-0.8412815153940639,-0.5934381713297449,-0.6158419778485107,-0.13636285591867348,0.18478075589519977,-1.0913531862805912,-0.6107686940480328,-0.33104947894654363,0.08404922964097719,-0.23948598642183833,-1.1488251553240323,-0.5512659528261211,0.458632121570713,-0.658996338613722,0.007782388804135261
CHEMBL1079099,0.38567519696398134,-1.7509252893340919,-1.6529486242618339,-1.9584160419657393,-1.3328707614527995,-1.392788006865503,-1.7038803213471212,-1.8836780096083485,-1.4785219617863616,-1.4939746203973416,-0.025157767534648923,0.8251987311488721,-1.7639066605660434,-1.3471381438355075,-1.460903975578823,-0.33636276314964986,0.14140870123755767,-0.18151574297589004,-0.7333588348601214,-0.0020630041169644978,0.9952385023188245,-1.2240907749838443,2.708385971882781,1.9913772384001796,-1.447987875114633,-1.6327850953237004,-1.6068481268224544,-1.0979637623532204,-1.6800404969469,-1.7939670702164003,-1.8269845210535687,-1.8707638790769536,-1.9629150295523476,-1.9170127712933953,-1.83550606337923,-1.8472393421645823,-1.8578927011529347,-1.877412372361674,-1.8234405798691522,-1.768630497731379,-1.3431302178899795,-2.3097653151475344,-1.3812739103020228,-1.8101938733360756,-2.214680824414662,-1.4292512012192888,0.2764458450611514,0.9034376989156472,-0.42530707035496507,-0.2732679501828519,-1.1924951761463756,-0.8328387409622936,-0.8727311337066356,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,0.6249956061445893,-0.6779931052000009,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,-1.069873501753642,-1.3049441323416617,-0.2171412121054139,0.8462083350850162,-1.8069641646307073,-1.5072608457880492,-1.8491092991899638,-0.7040109579202242,-0.1841472468763163,-0.670317813268741,-0.5157201491952338,-0.5823876672938049,0.4629543140845201,0.6710443969865311,-0.5717592203002694,-0.7756147367962062,-0.5966186932377051,-1.435219385869802,-0.08743048300323643,-0.5910895435563894,-0.325275486337414,-0.6612863729298334,-0.33578991784004697,-0.8412815153940639,-0.5934381713297449,-0.6158419778485107,-0.13636285591867348,0.1615230556674004,-1.0860069799175214,-0.6110797574829201,-0.17959268218149896,0.11082432790398015,-0.25362775038005353,-1.1207873704950104,-0.5440960034222473,0.458632121570713,-0.658996338613722,-1.1764972265175337
CHEMBL1079100,0.900619537287639,-1.6268396463772072,-1.358062658026615,-1.9584160419657393,-1.011192417498821,-1.392788006865503,-1.4315979407971908,-1.7216627406484826,-1.4785219617863616,-1.4939746203973416,-0.025157767522710418,1.2350332901491197,-1.6291844891270688,-1.3471381438355075,-1.460903975578823,-0.33636276314964986,0.7670371015799378,0.6692376921405405,0.31708286691511184,0.02140546386005788,1.0121087115623884,-1.2240907751155932,2.7083859720348085,2.3667592469903234,-1.2673219075074944,-1.4308908511520573,-1.4680072246049924,-1.1082708939088688,-1.5291708353284386,-1.686226416161059,-1.7618389611058638,-1.8338166713396107,-1.9139075989724947,-1.8855832346452066,-1.7854120412089476,-1.6370999140823945,-1.7169768712442772,-1.7113431847122702,-1.6708682406127373,-1.6163435508664192,-1.3431302178899795,-2.3097653151475344,-1.3812739103020228,-1.5972871434343936,-2.214680824414662,-1.4292512012192888,0.2764458450611514,0.9034376989156472,-0.42530707035496507,-0.019348029346728187,-1.1924951761463756,-0.8328387409622936,-0.41249746516652946,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,0.6249956061445893,-0.6779931052000009,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,-1.069873501753642,-1.3049441323416617,-0.2633773049535386,0.8462083350850162,-0.9522602155873645,-1.5072608457880492,-1.8491092991899638,-0.7040109579202242,-0.1841472468763163,-0.670317813268741,-0.8537533481738699,0.8848470935966808,0.4629543140845201,0.6710443969865311,-0.5717592203002694,0.4578721228945956,-0.5966186932377051,-0.11544308949367825,-0.7562152676700715,-0.8412570604650161,-0.325275486337414,-0.6612863729298334,-0.33578991784004697,-0.8412815153940639,0.7985736515188574,-0.6158419778485107,-0.13636285591867348,0.2045561343597448,-1.0927718075529855,-0.670932432249152,-0.4576543090830306,0.06952189308363044,-0.4942777017479164,-1.193713192695931,-0.5559343437388492,0.458632121570713,0.6445404279921393,0.1349533542078046
CHEMBL1079101,0.900619537287639,-1.6268396463772072,-1.358062658026615,-1.9584160419657393,-1.011192417498821,-1.392788006865503,-1.4315979407971908,-1.7216627406484826,-1.4785219617863616,-1.4939746203973416,-0.025157767522223436,1.2350332901491197,-1.6291844891270688,-1.3471381438355075,-1.460903975578823,-0.33636276314964986,1.1039139325335263,0.9358917538934514,0.542177517295519,0.02141722063662332,1.0121171628716465,-1.224090943879812,2.708386166775243,2.4940962575093604,-1.2673219075074944,-1.4308908511520573,-1.4680072246049924,-1.1909969883910987,-1.5291708353284386,-1.6818093839123789,-1.7618389611058638,-1.8317242926476613,-1.9254033953274083,-1.8789590764559663,-1.7596323554043394,-1.6370999140823945,-1.7152335190320909,-1.729310908866129,-1.6355173068733204,-1.5433031416607663,-1.3431302178899795,-2.3097653151475344,-1.3812739103020228,-1.5972871434343936,-2.214680824414662,-1.4292512012192888,0.2764458450611514,0.9034376989156472,-0.42530707035496507,0.2589700080865139,-1.524331049743247,-0.8328387409622936,-0.41249746516652946,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,0.6249956061445893,-0.6779931052000009,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,-1.069873501753642,-1.3049441323416617,-0.2633773049535386,0.8462083350850162,-0.9522602155873645,-1.5072608457880492,-1.8491092991899638,-0.7040109579202242,-0.1841472468763163,-0.670317813268741,-0.8537533481738699,0.8848470935966808,0.4629543140845201,0.6710443969865311,-0.5717592203002694,0.4578721228945956,-0.36032498131130297,-0.5226142922551464,-0.7562152676700715,-0.8412570604650161,-0.325275486337414,-0.6612863729298334,-0.33578991784004697,-0.8412815153940639,0.7985736515188574,-0.6158419778485107,-0.13636285591867348,0.2045561343597448,-1.0937489340742412,-0.6780748293193065,-0.528198914242544,0.058796513902104545,-0.48975289079456474,-1.200535850893456,-0.5581640064354477,0.458632121570713,0.7112673641894468,-1.112911743815699
CHEMBL1082857,0.8891132817493403,-1.6268396463772072,-1.7273916727430685,-1.9584160419657393,-2.2979057933147353,-1.392788006865503,-1.7029159302765122,-1.3595699329551452,-1.145849263230534,-0.7608890591477777,-0.02515776744334129,1.1219754807697406,-1.674091879606727,-0.440641953470653,-0.6121525656024372,-0.33636276314964986,0.4301602706263491,0.9358917538934514,1.2174614684367404,-2.9612854632896877,-1.1319860840229838,-1.2240907751061683,2.708385972023933,0.9037858693838253,-1.3819724195585685,-1.6746172506179742,-1.3391523699155303,-1.2821638012860357,-1.6963753881465256,-1.568047703983759,-1.4430027522578879,-1.2453913593925716,-1.322827905538205,-1.124608957363787,-0.872817538553709,-1.4948233663738528,-1.3368376121161192,-1.3924061246460713,-1.2349173055240892,-1.0594122556870493,-1.3431302178899795,-2.3097653151475344,-0.29155784357590975,-1.5631075411198556,-2.214680824414662,-1.4292512012192888,0.2764458450611514,-0.7071311783513966,-0.42530707035496507,0.5942101076165399,-0.19384047400452148,-0.8328387409622936,-1.382521024751129,-0.7547123358880075,-0.7901783871121252,-0.5466716682979658,-0.6444553763086611,-0.9674069357639725,-1.9114126001149023,0.7273121387543089,-1.2876096484941226,-0.8643593844610242,0.07442814496101001,-1.3049441323416617,-0.2171412121054139,0.8462083350850162,-1.8069641646307073,-1.5072608457880492,-1.8491092991899638,-1.221889652296889,-0.1841472468763163,1.1431779565340796,-0.5157201491952338,-0.5823876672938049,0.4629543140845201,-1.1040139213346205,-0.5717592203002694,-0.7756147367962062,-1.1489244128605973,-1.435219385869802,-1.1243608648411134,-0.12759442385503816,1.1569299941823306,-1.1062237048919312,-0.6780465452298894,1.9760287808231045,-0.5934381713297449,-1.9377301895985024,-0.13636285591867348,-1.2439793724630552,-1.0484671382435526,-0.5726337809893329,1.0282934234083176,0.5430520697154451,0.5678763147926287,1.2252673605825628,-0.49730609676882137,0.458632121570713,-0.658996338613722,-0.4532123607841657
